ID,FORENAME,SURNAME,GENDER,YEAR
10164,Anton,Gustafsson,male,1973
10165,Robert,Jansson,male,1989
10166,Emelie,Jakobsson,female,1976
10167,Joel,Lindström,male,1991
10168,Linnéa,Nyström,female,1978
10169,Liam,Isaksson,male,1975
10170,Fredrik,Ekström,male,1965
10171,Göran,Nilsson,male,1977
10172,John,Wikström,male,1991
10173,Per,Mohamed,male,1995
10174,Inger,Blom,female,1964
10175,Roger,Sandström,male,1998
10176,Arne,Persson,male,1957
10177,Wilma,Lindgren,female,1997
10178,Olle,Svensson,male,1996
10179,Pernilla,Lundström,female,1957
10180,Alice,Hassan,female,1951
10181,Jesper,Lundberg,male,2018
10182,Marianne,Lindström,female,1995
10183,Marcus,Lund,male,1956
10184,Elin,Nordin,female,2001
10185,Jimmy,Blom,male,1954
10186,Ebba,Lundgren,female,1963
10187,Agnes,Söderberg,female,1950
10188,Kenneth,Dahl,male,1965
10189,Liam,Mattsson,male,1989
10190,Kent,Löfgren,male,1950
10191,Albin,Bengtsson,male,1975
10192,Madeleine,Andersson,female,1974
10193,Maja,Fredriksson,female,1975
10194,Lisa,Mårtensson,female,2006
10195,Niklas,Ström,male,1978
10196,Gunnar,Fransson,male,1992
10197,Isak,Karlsson,male,1968
10198,Oliver,Sundberg,male,1985
10199,Elisabeth,Berggren,female,1992
10200,Pontus,Lindholm,male,2009
10201,Lisbeth,Dahl,female,1987
10202,Karin,Abrahamsson,female,1955
10203,Louise,Lundqvist,female,2017
10204,Anna,Viklund,female,1992
10205,Erika,Nordström,female,1952
10206,Eva,Holm,female,1973
10207,Rebecca,Fredriksson,female,1958
10208,Lisa,Jonasson,female,1980
10209,Hugo,Bergman,male,1977
10210,Gunnar,Bergman,male,1957
10211,Max,Abrahamsson,male,1961
10212,Adam,Hansson,male,2015
10213,Ulf,Lundgren,male,1972
10214,Filip,Isaksson,male,1954
10215,Tobias,Andreasson,male,2017
10216,Sandra,Ekström,female,2019
10217,Anita,Öberg,female,1957
10218,William,Forsberg,male,1972
10219,Gunnar,Blom,male,2007
10220,Julia,Ekström,female,2000
10221,Oskar,Axelsson,male,1966
10222,Caroline,Lindgren,female,1957
10223,Albin,Lundin,male,1970
10224,Sofia,Bergström,female,1998
10225,Olle,Sandström,male,2006
10226,Matilda,Gunnarsson,female,1972
10227,Adam,Bergman,male,1969
10228,Ann,Holmberg,female,1986
10229,Lennart,Sandström,male,1982
10230,Katarina,Jansson,female,1954
10231,Claes,Bergman,male,2003
10232,Elin,Svensson,female,1959
10233,Bo,Andreasson,male,2019
10234,Anette,Lind,female,1954
10235,Åsa,Eliasson,female,2003
10236,Katarina,Lund,female,1968
10237,Torbjörn,Isaksson,male,2011
10238,Moa,Nordström,female,1954
10239,Robert,Nordström,male,1974
10240,Mats,Sjöberg,male,1950
10241,Amanda,Falk,female,1982
10242,Ulrika,Hellström,female,2011
10243,Nina,Andreasson,female,2004
10244,Lisbeth,Åberg,female,1982
10245,Berit,Mattsson,female,1972
10246,Johan,Ek,male,1985
10247,Therese,Wallin,female,2003
10248,Adam,Öberg,male,1989
10249,Tommy,Nordström,male,2015
10250,Christian,Mattsson,male,1954
10251,Adam,Sjögren,male,1984
10252,Simon,Mohamed,male,1974
10253,Rickard,Björk,male,1971
10254,Simon,Nyström,male,1998
10255,Göran,Gunnarsson,male,1970
10256,Linda,Söderberg,female,2001
10257,Joel,Wikström,male,1976
10258,Lovisa,Axelsson,female,1991
10259,Marcus,Jonsson,male,1992
10260,Jakob,Viklund,male,1987
10261,Pia,Björk,female,1992
10262,Helena,Fredriksson,female,1988
10263,Linus,Lindholm,male,1974
10264,Linnéa,Lind,female,1990
10265,Elin,Hellström,female,1991
10266,Joel,Strömberg,male,2012
10267,Ann-Marie,Mohamed,female,1956
10268,Olof,Hassan,male,2016
10269,Tobias,Söderberg,male,1986
10270,Kerstin,Viklund,female,1992
10271,Gunnar,Björklund,male,1996
10272,Louise,Ström,female,1985
10273,Samuel,Viklund,male,1991
10274,Henrik,Sjögren,male,2013
10275,Anette,Jonsson,female,1967
10276,Jonathan,Nyström,male,1956
10277,Christer,Ek,male,1997
10278,Mona,Olsson,female,1961
10279,Isak,Dahlberg,male,1969
10280,Agneta,Martinsson,female,1951
10281,Lena,Nyström,female,1969
10282,William,Henriksson,male,1954
10283,Felicia,Ali,female,2009
10284,Gustav,Månsson,male,1996
10285,Sofia,Söderberg,female,2014
10286,Barbro,Bergström,female,1985
10287,Per,Henriksson,male,1999
10288,Ellen,Lundqvist,female,2015
10289,Madeleine,Hellström,female,2003
10290,Hugo,Claesson,male,1957
10291,Frida,Bengtsson,female,1958
10292,Agnes,Bergström,female,1961
10293,Linnéa,Martinsson,female,1958
10294,Robert,Norberg,male,2017
10295,Maria,Mårtensson,female,2015
10296,Kevin,Pålsson,male,1975
10297,Anders,Eriksson,male,2004
10298,Lisa,Fredriksson,female,2010
10299,Maja,Ekström,female,1968
10300,Josef,Mohamed,male,1953
10301,Hugo,Jansson,male,2018
10302,Margareta,Lindberg,female,1971
10303,Emma,Bengtsson,female,2016
10304,Gunnel,Bergqvist,female,1975
10305,Alexandra,Forsberg,female,1956
10306,Ann-Marie,Pettersson,female,2002
10307,Robin,Gustafsson,male,2020
10308,Elisabeth,Lund,female,2001
10309,Emilia,Wallin,female,2012
10310,Ingrid,Ek,female,1971
10311,Elsa,Nyström,female,1957
10312,Elisabeth,Fredriksson,female,1964
10313,Yvonne,Danielsson,female,2007
10314,Mikael,Eriksson,male,2017
10315,Viktor,Nyström,male,1971
10316,Carina,Forsberg,female,2014
10317,Kent,Öberg,male,1982
10318,Mats,Åberg,male,1988
10319,Birgitta,Lindqvist,female,2012
10320,Dennis,Sjöberg,male,1966
10321,Andreas,Johansson,male,1954
10322,Joakim,Abrahamsson,male,1978
10323,Ulla,Jansson,female,2001
10324,Johan,Holmgren,male,1968
10325,Max,Olsson,male,1958
10326,Ulf,Löfgren,male,1970
10327,Robin,Nyberg,male,1998
10328,Nils,Björk,male,2013
10329,Mats,Dahl,male,1974
10330,Hans,Lundström,male,2013
10331,William,Berggren,male,1959
10332,Claes,Lund,male,2007
10333,Jessica,Jonsson,female,1951
10334,Felicia,Nyberg,female,1963
10335,Sofie,Jakobsson,female,1966
10336,Helena,Sandberg,female,2020
10337,Nathalie,Nyberg,female,1979
10338,Liam,Nyberg,male,2002
10339,Peter,Engström,male,2016
10340,Erik,Falk,male,1974
10341,Ann-Christin,Lindqvist,female,1962
10342,Roger,Andreasson,male,2002
10343,Linnéa,Berg,female,1989
10344,Nils,Håkansson,male,1992
10345,Linda,Berglund,female,1981
10346,Tommy,Olofsson,male,1999
10347,Josefin,Norberg,female,1955
10348,Kerstin,Mohamed,female,1984
10349,Dennis,Hassan,male,2007
10350,Filip,Bergman,male,2016
10351,Monica,Lundqvist,female,1957
10352,Helena,Ström,female,2009
10353,Ellen,Persson,female,2012
10354,Edvin,Olsson,male,1972
10355,Alva,Johansson,female,1978
10356,Sonja,Lund,female,2010
10357,Liam,Jönsson,male,1959
10358,Thomas,Svensson,male,2019
10359,Emilia,Björk,female,1989
10360,Gunnel,Lindgren,female,2009
10361,Ebba,Månsson,female,2019
10362,Felicia,Andreasson,female,1999
10363,Birgitta,Lundberg,female,2001
10364,Rut,Berglund,female,1966
10365,Jakob,Lundström,male,2003
10366,Alice,Olofsson,female,1973
10367,Lennart,Nyström,male,1961
10368,Kurt,Lindgren,male,1981
10369,Rickard,Åkesson,male,1952
10370,Sven,Åberg,male,1993
10371,Maja,Viklund,female,1995
10372,Pernilla,Sundberg,female,1970
10373,Christoffer,Lindgren,male,1959
10374,Britt,Månsson,female,2013
10375,Jonas,Berg,male,2015
10376,Kjell,Hedlund,male,1985
10377,Jonathan,Lindholm,male,2019
10378,Ebba,Mattsson,female,2002
10379,Marcus,Eklund,male,1960
10380,Hanna,Söderberg,female,1966
10381,Sonja,Ek,female,1950
10382,Max,Olofsson,male,2007
10383,Håkan,Ahmed,male,1965
10384,Amanda,Bengtsson,female,1970
10385,Christoffer,Ahmed,male,2004
10386,Simon,Berggren,male,1952
10387,Christer,Jonasson,male,1994
10388,Kent,Claesson,male,2001
10389,Helena,Isaksson,female,1958
10390,Berit,Jonasson,female,1981
10391,Astrid,Svensson,female,2018
10392,Karin,Eliasson,female,1952
10393,Katarina,Magnusson,female,2008
10394,Kristina,Hellström,female,2019
10395,Simon,Lindgren,male,1982
10396,Elsa,Eklund,female,2016
10397,Göran,Holmberg,male,2014
10398,Torbjörn,Åkesson,male,1955
10399,Siv,Isaksson,female,1961
10400,Jessica,Jönsson,female,1991
10401,Hanna,Ali,female,2018
10402,Lovisa,Eliasson,female,1956
10403,Felix,Danielsson,male,2003
10404,Jesper,Sandström,male,1956
10405,Johnny,Håkansson,male,2018
10406,Karl,Viklund,male,1958
10407,Madeleine,Fransson,female,2016
10408,Joakim,Andersson,male,1999
10409,Erika,Blom,female,1999
10410,Björn,Åberg,male,2007
10411,Arne,Hansen,male,1990
10412,Ulf,Jakobsson,male,1994
10413,Gunnar,Öberg,male,2003
10414,Linn,Danielsson,female,2010
10415,Lisa,Sundberg,female,2007
10416,Hugo,Fransson,male,1958
10417,Maria,Norberg,female,2018
10418,Sven,Larsson,male,1950
10419,Elias,Nyberg,male,1980
10420,Lucas,Pålsson,male,1962
10421,Hanna,Engström,female,1958
10422,Robin,Eklund,male,1980
10423,Kristina,Andersson,female,1955
10424,Rasmus,Pettersson,male,1996
10425,Johan,Eriksson,male,2008
10426,Leif,Martinsson,male,2017
10427,Bo,Ström,male,1984
10428,Jimmy,Bergman,male,1960
10429,Ulrika,Blomqvist,female,1979
10430,Gunnel,Lund,female,2018
10431,Emil,Arvidsson,male,1970
10432,Ali,Nyberg,male,2009
10433,Johan,Jönsson,male,1950
10434,Tobias,Samuelsson,male,2020
10435,Lina,Karlsson,female,1980
10436,Hugo,Axelsson,male,1976
10437,Liam,Lundström,male,1961
10438,Jessica,Nyberg,female,1969
10439,Berit,Bergström,female,1991
10440,William,Martinsson,male,1970
10441,Linnéa,Holmberg,female,1953
10442,Hanna,Karlsson,female,1967
10443,Monica,Öberg,female,1993
10444,Alexander,Månsson,male,1994
10445,Anna,Abrahamsson,female,1983
10446,Maja,Olofsson,female,2003
10447,Ida,Axelsson,female,1998
10448,Anette,Persson,female,2017
10449,Emilia,Björklund,female,1956
10450,Jonas,Jakobsson,male,1988
10451,Rebecca,Strömberg,female,1967
10452,Alice,Mohamed,female,1950
10453,Isak,Dahl,male,1976
10454,Karl,Söderberg,male,1991
10455,Anna,Gustafsson,female,1971
10456,Lars,Löfgren,male,1993
10457,Kjell,Lundberg,male,2012
10458,Linn,Wikström,female,1985
10459,Birgitta,Jansson,female,2016
10460,Per,Åkesson,male,1957
10461,Ella,Blom,female,2014
10462,Alexandra,Arvidsson,female,1996
10463,Rebecca,Andersson,female,1975
10464,Olof,Sundberg,male,2017
10465,Liam,Hedlund,male,1950
10466,Barbro,Berggren,female,1977
10467,Stefan,Axelsson,male,2005
10468,Peter,Öberg,male,2007
10469,Birgit,Bengtsson,female,1975
10470,Anders,Lundgren,male,1954
10471,Marianne,Karlsson,female,1965
10472,Nina,Lundqvist,female,1986
10473,Maja,Månsson,female,1995
10474,Axel,Sandberg,male,1964
10475,Rickard,Berg,male,2013
10476,Bo,Eliasson,male,1977
10477,Linnéa,Håkansson,female,2020
10478,Magnus,Sjöberg,male,2003
10479,Sofia,Persson,female,1997
10480,Alice,Hellström,female,1956
10481,Olivia,Hedlund,female,1967
10482,Kent,Bergqvist,male,2020
10483,Johanna,Eklund,female,1961
10484,Linus,Olofsson,male,2020
10485,Helena,Lundgren,female,1993
10486,Karl,Lundin,male,1956
10487,Pernilla,Dahl,female,2004
10488,Anette,Lundgren,female,2015
10489,Pontus,Berg,male,1988
10490,Britt-Marie,Lindqvist,female,1979
10491,Christoffer,Andersson,male,1989
10492,Johanna,Jönsson,female,2009
10493,Julia,Hermansson,female,1970
10494,Jonathan,Hedlund,male,1962
10495,Kurt,Berggren,male,1960
10496,Mattias,Forsberg,male,2010
10497,Josefin,Jonsson,female,2005
10498,Claes,Björklund,male,1981
10499,Roger,Lindberg,male,2008
10500,Mattias,Jönsson,male,1995
10501,Eva,Ek,female,1990
10502,Anita,Björklund,female,2000
10503,Birgit,Ström,female,1980
10504,Marcus,Strömberg,male,1983
10505,Amanda,Lindström,female,1995
10506,Jörgen,Nyberg,male,2016
10507,Matilda,Bergström,female,1978
10508,Marcus,Bergqvist,male,2016
10509,Linus,Berglund,male,1977
10510,Agneta,Pålsson,female,1997
10511,Stefan,Magnusson,male,1956
10512,Yvonne,Svensson,female,1955
10513,Ann,Lindholm,female,1996
10514,Sven,Pålsson,male,1989
10515,Viktor,Sandberg,male,1995
10516,Monica,Fransson,female,1952
10517,Dan,Karlsson,male,1994
10518,Christer,Holmberg,male,1967
10519,Samuel,Olsson,male,1995
10520,Hanna,Nilsson,female,1976
10521,Robin,Gunnarsson,male,1959
10522,Margareta,Olofsson,female,1972
10523,Lennart,Ali,male,2001
10524,Peter,Söderberg,male,2000
10525,Daniel,Holmgren,male,2006
10526,Lisa,Bergström,female,1953
10527,Isabelle,Axelsson,female,2017
10528,Dennis,Ekström,male,1978
10529,Edvin,Persson,male,1966
10530,Kent,Ström,male,2017
10531,Nina,Holmberg,female,1992
10532,Leif,Mårtensson,male,1970
10533,David,Strömberg,male,1950
10534,John,Ekström,male,1959
10535,Liam,Bergström,male,1958
10536,Tommy,Andersson,male,1979
10537,Elias,Hassan,male,1964
10538,Louise,Ek,female,1956
10539,Anton,Åkesson,male,1975
10540,Rolf,Sundberg,male,1977
10541,Siv,Berglund,female,1968
10542,Roger,Björk,male,1966
10543,Oliver,Claesson,male,2008
10544,Alva,Lundberg,female,1996
10545,Carina,Mohamed,female,1981
10546,Johnny,Pålsson,male,1989
10547,Bo,Mohamed,male,1982
10548,Thomas,Sandberg,male,2006
10549,Jörgen,Larsson,male,1999
10550,Yvonne,Strömberg,female,2009
10551,Wilma,Sandström,female,1957
10552,Leif,Löfgren,male,2003
10553,Sofie,Jonsson,female,2018
10554,Gustav,Hermansson,male,2013
10555,Pernilla,Hermansson,female,2012
10556,Birgitta,Björk,female,1993
10557,Maja,Lundström,female,1959
10558,Göran,Fredriksson,male,1986
10559,Filip,Lindgren,male,1973
10560,Elsa,Lundström,female,1981
10561,Jonas,Viklund,male,1978
10562,Astrid,Andersson,female,1991
10563,Charlotte,Jansson,female,1969
10564,Ingrid,Lindgren,female,2019
10565,Frida,Axelsson,female,2001
10566,Joel,Gustafsson,male,1999
10567,Emma,Fredriksson,female,1986
10568,Marianne,Wallin,female,2017
10569,Inger,Månsson,female,1977
10570,Ann-Marie,Fredriksson,female,1969
10571,Lena,Lundin,female,1977
10572,Lena,Bergqvist,female,2002
10573,Carina,Isaksson,female,1960
10574,Ingrid,Lundgren,female,2012
10575,Olle,Berglund,male,2010
10576,Emil,Danielsson,male,1973
10577,Kristina,Mattsson,female,2001
10578,Emilia,Bergqvist,female,1951
10579,Linda,Wallin,female,2011
10580,Camilla,Lind,female,2017
10581,Frida,Blom,female,1962
10582,Mona,Lundin,female,1996
10583,Gun,Lundberg,female,2008
10584,Josefin,Holmgren,female,1960
10585,Liam,Henriksson,male,2000
10586,Linnéa,Hassan,female,1951
10587,Elin,Hansen,female,1974
10588,Karl,Danielsson,male,2003
10589,Linnéa,Mårtensson,female,1974
10590,Ingrid,Wikström,female,1984
10591,Johnny,Lindberg,male,1963
10592,Karl,Nordström,male,2015
10593,Ella,Larsson,female,1978
10594,Isak,Fredriksson,male,2002
10595,Tommy,Henriksson,male,1984
10596,Dennis,Olsson,male,1990
10597,Ulrika,Magnusson,female,1979
10598,Emilia,Lind,female,1959
10599,Lena,Gunnarsson,female,1970
10600,Anna,Norberg,female,2019
10601,Jonathan,Dahlberg,male,1966
10602,Marcus,Svensson,male,2011
10603,Isabelle,Åberg,female,2009
10604,Ulla,Bergqvist,female,1985
10605,Madeleine,Berglund,female,1994
10606,Oskar,Falk,male,1952
10607,Jan,Lundin,male,2012
10608,Astrid,Eliasson,female,1978
10609,Mikael,Andreasson,male,1965
10610,Edvin,Abrahamsson,male,1954
10611,Sven,Axelsson,male,1988
10612,Helen,Karlsson,female,1999
10613,Emma,Pettersson,female,1966
10614,Erik,Månsson,male,1959
10615,Karin,Mårtensson,female,1963
10616,Matilda,Andreasson,female,1991
10617,Helen,Norberg,female,1999
10618,Ellen,Nyberg,female,1992
10619,Monica,Hermansson,female,1958
10620,Olivia,Ahmed,female,1991
10621,Claes,Söderberg,male,2005
10622,Astrid,Mohamed,female,2004
10623,Marcus,Fransson,male,1952
10624,Berit,Lindqvist,female,1984
10625,Oskar,Åkesson,male,2005
10626,David,Lundin,male,2018
10627,Lina,Söderberg,female,2011
10628,Jörgen,Löfgren,male,1956
10629,Malin,Lundqvist,female,2008
10630,Malin,Hassan,female,1956
10631,Dennis,Gunnarsson,male,1962
10632,Rut,Åkesson,female,1959
10633,Anton,Svensson,male,1995
10634,Agneta,Fredriksson,female,2013
10635,Rebecca,Isaksson,female,1954
10636,Julia,Björklund,female,1986
10637,Annika,Gunnarsson,female,1969
10638,Rut,Lindström,female,1988
10639,Viktoria,Ahmed,female,2004
10640,Fredrik,Håkansson,male,1996
10641,Dan,Dahl,male,1953
10642,Anton,Hassan,male,1992
10643,Ali,Hermansson,male,1975
10644,Mona,Nyström,female,1991
10645,Emelie,Larsson,female,1973
10646,Nina,Bergman,female,1984
10647,Magnus,Andreasson,male,2003
10648,Kristina,Svensson,female,1980
10649,Stefan,Abrahamsson,male,1961
10650,Pia,Sjöberg,female,1952
10651,Rickard,Lindqvist,male,1983
10652,Katarina,Berggren,female,1999
10653,Julia,Sandström,female,1990
10654,Pia,Björklund,female,1973
10655,Berit,Gunnarsson,female,2020
10656,Alice,Isaksson,female,1999
10657,Maja,Bergqvist,female,2006
10658,Barbro,Arvidsson,female,2010
10659,Isabelle,Abrahamsson,female,1995
10660,Gunnel,Jansson,female,1990
10661,Hugo,Sandberg,male,1986
10662,Sandra,Lindström,female,1966
10663,Sebastian,Nyberg,male,2004
10664,Helen,Forsberg,female,1995
10665,Sonja,Lindqvist,female,1970
10666,Göran,Johansson,male,1951
10667,Nina,Axelsson,female,1956
10668,Alice,Berggren,female,1959
10669,Sofie,Nyberg,female,1981
10670,Tommy,Pålsson,male,1990
10671,Stefan,Mattsson,male,1970
10672,Annika,Mårtensson,female,2009
10673,Lina,Lundström,female,2002
10674,Birgitta,Holm,female,2004
10675,Samuel,Ek,male,1961
10676,Sonja,Björklund,female,2005
10677,Arne,Pettersson,male,1987
10678,Ingrid,Bengtsson,female,1954
10679,Christer,Bergström,male,1996
10680,Ulla,Eliasson,female,2003
10681,Cecilia,Hellström,female,1960
10682,Ulla,Magnusson,female,1990
10683,Magnus,Bengtsson,male,1983
10684,Mattias,Holmberg,male,2015
10685,Hans,Lind,male,2018
10686,Roger,Lindström,male,1984
10687,Margareta,Holmberg,female,1967
10688,Mohamed,Wikström,male,1974
10689,Olivia,Björk,female,1991
10690,Yvonne,Samuelsson,female,1969
10691,Klara,Bergström,female,1988
10692,Britt,Johansson,female,1995
10693,Linus,Löfgren,male,2009
10694,Rut,Persson,female,2005
10695,Klara,Engström,female,1981
10696,Alice,Blom,female,1984
10697,Ebba,Åberg,female,1959
10698,Erika,Löfgren,female,1966
10699,Alva,Henriksson,female,2009
10700,Leo,Åberg,male,1972
10701,Ingrid,Lindström,female,1971
10702,Tobias,Ek,male,1996
10703,Åke,Martinsson,male,2019
10704,Kjell,Hermansson,male,1962
10705,Adam,Ahmed,male,1990
10706,Tommy,Hassan,male,1985
10707,Viktoria,Hermansson,female,1951
10708,Agneta,Berglund,female,1994
10709,Elin,Hermansson,female,1988
10710,Frida,Ali,female,1989
10711,Andreas,Hansson,male,1961
10712,Helen,Bergström,female,2006
10713,Madeleine,Eliasson,female,2016
10714,Anette,Löfgren,female,1984
10715,Agneta,Mattsson,female,1967
10716,Hans,Karlsson,male,2010
10717,Ali,Jakobsson,male,1963
10718,Anders,Jonsson,male,1989
10719,Bo,Samuelsson,male,1994
10720,Filip,Lindberg,male,1998
10721,Karl,Pålsson,male,2012
10722,Linda,Lundin,female,2001
10723,Carina,Lundqvist,female,1971
10724,Erik,Lundin,male,1982
10725,Lena,Dahlberg,female,1967
10726,Joakim,Sjöberg,male,1968
10727,John,Nilsson,male,2017
10728,Johnny,Gunnarsson,male,1967
10729,Lucas,Henriksson,male,2013
10730,Kenneth,Blom,male,2015
10731,Rolf,Jönsson,male,1980
10732,Emil,Fredriksson,male,1986
10733,Elin,Lundström,female,1953
10734,Jimmy,Lundgren,male,1961
10735,Kenneth,Strömberg,male,2013
10736,Hanna,Eklund,female,1979
10737,Astrid,Ström,female,1966
10738,Birgitta,Lundin,female,1970
10739,Christer,Isaksson,male,1995
10740,Britt-Marie,Claesson,female,2020
10741,Dennis,Bengtsson,male,1972
10742,Susanne,Blomqvist,female,1998
10743,Simon,Ek,male,1977
10744,Joel,Blom,male,2000
10745,Amanda,Sandberg,female,1969
10746,Emelie,Strömberg,female,1974
10747,Sven,Hedlund,male,1998
10748,Dennis,Månsson,male,1986
10749,Klara,Olsson,female,2000
10750,David,Jönsson,male,1982
10751,Karl,Blom,male,1982
10752,Sofia,Berggren,female,1965
10753,Rut,Bergman,female,2005
10754,Daniel,Gunnarsson,male,1983
10755,Kjell,Svensson,male,1961
10756,Jesper,Berg,male,2003
10757,Bo,Lindgren,male,1976
10758,Anna,Sjöberg,female,1971
10759,Erik,Lundström,male,1976
10760,Mohamed,Strömberg,male,1987
10761,Rolf,Sjöberg,male,1953
10762,Joakim,Holmgren,male,1953
10763,Filip,Håkansson,male,1974
10764,Caroline,Nilsson,female,1980
10765,Kjell,Holm,male,1979
10766,Jenny,Karlsson,female,1967
10767,Ella,Lindström,female,2015
10768,John,Claesson,male,2012
10769,Nathalie,Lindström,female,1976
10770,Anders,Lindberg,male,1995
10771,Kerstin,Dahlberg,female,1957
10772,Robin,Wallin,male,1991
10773,Anders,Bengtsson,male,1976
10774,Viktor,Claesson,male,2014
10775,Andreas,Olsson,male,1955
10776,Andreas,Norberg,male,1969
10777,Patrik,Olsson,male,2009
10778,Hugo,Johansson,male,1964
10779,Kjell,Hassan,male,1995
10780,Fredrik,Ström,male,1957
10781,Hans,Arvidsson,male,2014
10782,Patrik,Ström,male,2002
10783,Kurt,Söderberg,male,1994
10784,Viktoria,Eriksson,female,2003
10785,Emil,Abrahamsson,male,1959
10786,Lisbeth,Hansson,female,1988
10787,Annika,Sundberg,female,1953
10788,Daniel,Sandberg,male,2007
10789,Nathalie,Jonasson,female,1958
10790,Anders,Svensson,male,1955
10791,Charlotte,Bergqvist,female,1979
10792,Yvonne,Lundqvist,female,2017
10793,Klara,Lindberg,female,1954
10794,Anna,Holm,female,2008
10795,Jenny,Mohamed,female,2017
10796,Anna,Sandberg,female,1964
10797,Ludvig,Sandström,male,2003
10798,Daniel,Ström,male,2019
10799,Leo,Forsberg,male,1951
10800,Björn,Eklund,male,1970
10801,Joakim,Fransson,male,2010
10802,Christoffer,Dahlberg,male,1972
10803,Emelie,Olsson,female,1987
10804,Rut,Norberg,female,1951
10805,Jenny,Berglund,female,2005
10806,Agneta,Lindqvist,female,1962
10807,Annika,Blomqvist,female,1960
10808,Christoffer,Björk,male,1988
10809,Lovisa,Forsberg,female,1960
10810,Kristina,Lundin,female,1972
10811,Erika,Sjöberg,female,1978
10812,Jan,Viklund,male,1979
10813,Kristina,Nilsson,female,1972
10814,Ebba,Lundin,female,2019
10815,William,Bergqvist,male,2013
10816,Joakim,Hellström,male,2014
10817,Berit,Ahmed,female,2008
10818,Bengt,Lindberg,male,2013
10819,Stig,Lundberg,male,1961
10820,Nils,Olofsson,male,1976
10821,Ali,Lundqvist,male,2020
10822,Elsa,Mohamed,female,1970
10823,Gunilla,Magnusson,female,2014
10824,Pia,Lundin,female,1963
10825,Jakob,Söderberg,male,1972
10826,Jimmy,Björklund,male,2008
10827,Stefan,Hellström,male,1974
10828,Berit,Danielsson,female,2011
10829,Kurt,Mohamed,male,1986
10830,Barbro,Hansen,female,1968
10831,Lisa,Ali,female,2013
10832,Klara,Lindström,female,1990
10833,Max,Lindberg,male,1994
10834,Ida,Svensson,female,1999
10835,Marie,Mattsson,female,1988
10836,Jenny,Nilsson,female,1968
10837,Lisbeth,Henriksson,female,1954
10838,Agneta,Nordin,female,1981
10839,Claes,Björk,male,1958
10840,Ann-Christin,Holmberg,female,1972
10841,Gunilla,Hansson,female,1975
10842,Britt,Engström,female,1952
10843,Gun,Jönsson,female,2003
10844,Mattias,Åkesson,male,1970
10845,Yvonne,Blom,female,1970
10846,Elisabeth,Lindgren,female,2004
10847,Leo,Ahmed,male,2002
10848,Magnus,Hermansson,male,2004
10849,Gunnar,Löfgren,male,2020
10850,Ann-Marie,Eriksson,female,2008
10851,David,Lindgren,male,1985
10852,Daniel,Nordin,male,1987
10853,Adam,Lindberg,male,2009
10854,Hans,Fransson,male,1963
10855,Viktor,Jakobsson,male,1958
10856,Axel,Söderberg,male,1994
10857,Arne,Månsson,male,2007
10858,Caroline,Lundberg,female,1993
10859,Agnes,Lundgren,female,1955
10860,Jan,Mårtensson,male,1953
10861,Hugo,Gunnarsson,male,2004
10862,Britt,Lindqvist,female,2007
10863,Britt-Marie,Arvidsson,female,1992
10864,Patrik,Lindström,male,1983
10865,Christoffer,Jansson,male,2020
10866,Ann,Jonsson,female,1991
10867,Alice,Holmgren,female,2017
10868,Åke,Sandberg,male,1999
10869,Ulf,Björk,male,1956
10870,Lina,Sjöberg,female,2008
10871,Lisbeth,Hedlund,female,1979
10872,Linus,Sjögren,male,1973
10873,Gun,Andreasson,female,1959
10874,Julia,Engström,female,1997
10875,Linnéa,Sundberg,female,1980
10876,Lisa,Forsberg,female,1985
10877,Mats,Arvidsson,male,1954
10878,Leif,Ekström,male,1965
10879,Leo,Hellström,male,2007
10880,Linn,Engström,female,1979
10881,Ann-Marie,Hassan,female,1991
10882,Elsa,Arvidsson,female,1952
10883,Ann,Olofsson,female,1965
10884,Erika,Pettersson,female,1979
10885,Hugo,Engström,male,1972
10886,Håkan,Blom,male,1962
10887,Filip,Hansen,male,1989
10888,Johanna,Johansson,female,2005
10889,Robert,Hansen,male,2010
10890,Alexander,Mårtensson,male,2014
10891,Åsa,Hedlund,female,1997
10892,Gun,Svensson,female,1992
10893,Pia,Nyberg,female,1975
10894,Susanne,Eriksson,female,1968
10895,Samuel,Berg,male,1969
10896,Joel,Hedlund,male,2004
10897,Klara,Björk,female,1983
10898,Lars,Eklund,male,1998
10899,Joel,Lundin,male,1972
10900,Jesper,Martinsson,male,1974
10901,Patrik,Blomqvist,male,1988
10902,Ingrid,Hermansson,female,1983
10903,Arne,Sandström,male,2019
10904,Nils,Lundqvist,male,1952
10905,Viktoria,Björklund,female,1953
10906,Ali,Sundberg,male,2007
10907,Carina,Söderberg,female,2008
10908,Helen,Lund,female,1978
10909,Linda,Berg,female,1950
10910,Anette,Lundström,female,1962
10911,Anette,Holm,female,1972
10912,Joakim,Lund,male,1966
10913,Jörgen,Andersson,male,1971
10914,Roger,Olofsson,male,1965
10915,Nathalie,Jonsson,female,1964
10916,Astrid,Holm,female,1971
10917,Bengt,Claesson,male,1979
10918,Kristina,Ali,female,1960
10919,Mattias,Sundberg,male,1990
10920,Pernilla,Engström,female,2003
10921,Jakob,Fredriksson,male,2020
10922,Malin,Nilsson,female,2020
10923,Simon,Mårtensson,male,1987
10924,Axel,Bergström,male,2009
10925,Louise,Hansen,female,1954
10926,Samuel,Wikström,male,1969
10927,Sonja,Jonsson,female,1987
